"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Hop to It","W","U","88963","3.50","24891","4.10","128322","83.3%","56.7%","22532","57.9%","29175","59.4%","51707","58.8%","76437","55.3%","3.5pp"
"Jolly Gerbils","W","U","123354","4.70","23266","6.24","96992","68.8%","54.9%","17341","55.8%","21305","53.9%","38646","54.8%","58058","54.8%","-0.0pp"
"Mabel's Mettle","W","U","121212","4.52","20221","6.17","87540","72.7%","53.8%","13637","52.0%","19302","53.8%","32939","53.1%","54525","54.2%","-1.1pp"
"Mouse Trapper","W","U","124129","4.79","18596","6.64","72417","65.4%","53.5%","12301","51.8%","15524","51.7%","27825","51.8%","44438","54.5%","-2.7pp"
"Parting Gust","W","U","105825","4.06","18224","5.38","83309","77.1%","53.4%","13380","52.0%","19052","54.8%","32432","53.7%","50651","53.2%","0.5pp"
"Repel Calamity","W","U","97115","3.67","19457","4.76","98252","83.0%","55.4%","16008","56.0%","22668","57.7%","38676","57.0%","59306","54.3%","2.7pp"
"Seasoned Warrenguard","W","U","129529","5.04","21422","6.81","82770","63.1%","56.3%","14602","60.3%","17542","54.4%","32144","57.1%","50480","55.8%","1.3pp"
"Shrike Force","W","U","97229","3.74","18449","4.85","90363","81.2%","55.0%","15713","55.7%","20743","55.3%","36456","55.5%","53633","54.5%","0.9pp"
"Star Charter","W","U","105440","4.09","19037","5.40","78593","68.7%","54.1%","12930","52.3%","18470","55.3%","31400","54.1%","46015","53.7%","0.4pp"
"Calamitous Tide","U","U","148364","6.01","23439","8.31","65017","46.9%","53.2%","9695","51.7%","18839","57.9%","28534","55.8%","35902","51.0%","4.8pp"
"Daring Waverider","U","U","133394","5.30","23785","7.09","77520","54.4%","54.3%","11713","52.5%","23109","59.8%","34822","57.3%","42593","51.7%","5.6pp"
"Eddymurk Crab","U","U","126355","5.00","22945","6.58","81272","59.5%","53.4%","12449","51.6%","24469","59.2%","36918","56.7%","44292","50.7%","6.0pp"
"Gossip's Talent","U","U","141491","5.92","17852","8.70","34059","32.8%","49.8%","5849","44.1%","9655","51.7%","15504","48.8%","18347","50.5%","-1.7pp"
