"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Nocturnal Hunger","B","C","222439","3.41","63162","4.24","346166","90.4%","55.2%","58733","54.4%","85224","58.7%","143957","56.9%","199607","53.9%","3.0pp"
"Psychic Whorl","B","C","402701","7.31","46736","10.85","36404","13.0%","51.3%","5965","50.8%","9135","54.4%","15100","53.0%","21033","49.9%","3.1pp"
"Ravine Raider","B","C","380952","6.55","51612","9.26","140006","44.8%","55.2%","25066","57.4%","29979","53.5%","55045","55.3%","84655","55.2%","0.1pp"
"Savor","B","C","236249","3.61","72148","4.37","396113","89.3%","56.4%","69643","58.1%","96722","59.9%","166365","59.2%","226859","54.2%","4.9pp"
"Scales of Shale","B","C","367478","6.02","61448","8.26","217130","58.1%","55.7%","34250","55.7%","50278","59.0%","84528","57.6%","131574","54.5%","3.2pp"
"Starlit Soothsayer","B","C","376579","6.30","45013","9.40","108306","40.3%","52.3%","18580","49.9%","24597","52.9%","43177","51.6%","63918","52.5%","-0.8pp"
"Thornplate Intimidator","B","C","365777","5.94","48315","8.80","140457","48.5%","53.4%","22428","52.3%","34093","55.9%","56521","54.5%","83318","52.5%","1.9pp"
"Agate Assault","R","C","292669","4.52","47214","6.15","222515","78.7%","53.9%","37177","53.1%","51661","55.1%","88838","54.3%","133027","53.6%","0.7pp"
"Alania's Pathmaker","R","C","377064","6.32","52855","8.90","166332","52.4%","53.9%","27094","52.9%","38466","54.3%","65560","53.7%","100751","53.9%","-0.2pp"
"Conduct Electricity","R","C","386797","6.66","41562","9.97","75327","30.3%","51.7%","11279","50.3%","17915","54.0%","29194","52.6%","45869","51.1%","1.4pp"
"Frilled Sparkshooter","R","C","385194","6.73","44804","9.82","101220","37.7%","53.4%","16152","51.6%","22300","52.3%","38452","52.0%","62771","54.1%","-2.1pp"
"Kindlespark Duo","R","C","376755","6.58","42525","9.59","97624","39.0%","50.6%","16517","48.9%","23440","49.8%","39957","49.4%","57598","51.4%","-2.0pp"
"Might of the Meek","R","C","380236","6.57","47512","9.43","131165","46.2%","53.4%","21036","52.3%","30222","53.0%","51258","52.7%","79713","53.9%","-1.1pp"
"Raccoon Rallier","R","C","372794","6.29","49254","8.92","163931","55.4%","53.5%","29066","53.1%","34247","49.8%","63313","51.3%","100585","54.8%","-3.5pp"
"Roughshod Duo","R","C","357683","5.87","49314","8.28","188503","63.6%","54.2%","32126","53.7%","41069","52.8%","73195","53.2%","115263","54.8%","-1.6pp"
"Sazacap's Brew","R","C","397019","7.03","46580","10.24","88011","31.7%","52.2%","14738","50.2%","20288","51.1%","35026","50.7%","52789","53.1%","-2.4pp"
"Steampath Charger","R","C","369076","6.19","49441","8.76","169256","56.9%","53.8%","29909","51.6%","35899","52.6%","65808","52.1%","103276","54.9%","-2.8pp"
"Take Out the Trash","R","C","252584","3.89","57797","4.89","300545","85.3%","55.2%","52368","56.8%","68968","56.9%","121336","56.8%","178428","54.1%","2.7pp"
"War Squeak","R","C","400791","7.34","41726","10.96","46733","18.8%","50.9%","6954","47.5%","10069","49.9%","17023","48.9%","29690","52.0%","-3.1pp"
"Whiskerquill Scribe","R","C","390230","6.78","50489","9.61","139083","45.9%","53.8%","24615","53.2%","29341","50.5%","53956","51.8%","85032","55.1%","-3.3pp"
"Bakersbane Duo","G","C","263660","3.96","74739","4.96","409342","89.8%","55.7%","74100","57.7%","97797","57.0%","171897","57.3%","235722","54.4%","2.9pp"
"Cache Grab","G","C","340315","5.44","77534","6.96","315430","66.9%","55.6%","56284","56.3%","77598","58.7%","133882","57.7%","180430","54.1%","3.6pp"
"Druid of the Spade","G","C","377776","6.20","55508","8.90","166394","49.8%","54.5%","28075","53.5%","37981","54.4%","66056","54.0%","100182","54.8%","-0.7pp"
"Heaped Harvest","G","C","342019","5.37","52278","7.67","174264","56.2%","52.2%","30376","52.3%","42826","52.9%","73202","52.6%","100572","51.9%","0.8pp"
"High Stride","G","C","398927","6.83","52610","10.00","100209","31.6%","53.7%","15353","53.7%","23730","54.8%","39083","54.4%","60903","53.3%","1.1pp"
"Longstalk Brawl","G","C","264330","3.90","63413","5.13","335540","87.5%","54.8%","54090","54.4%","84497","56.7%","138587","55.8%","195909","54.0%","1.8pp"
"Polliwallop","G","C","275971","4.14","64906","5.43","334888","85.2%","55.0%","53527","53.9%","87154","58.4%","140681","56.7%","193066","53.8%","2.9pp"
"Rust-Shield Rampager","G","C","352184","5.46","51705","7.98","187646","60.3%","54.0%","30084","52.8%","45226","55.5%","75310","54.4%","112398","53.7%","0.7pp"
"Stickytongue Sentinel","G","C","327602","5.01","68013","6.69","322052","78.2%","54.9%","54651","53.3%","84582","57.3%","139233","55.7%","182702","54.3%","1.4pp"
"Sunshower Druid","G","C","353861","5.68","54006","8.00","189942","58.7%","54.1%","33655","55.7%","50644","56.7%","84299","56.3%","105525","52.4%","3.8pp"
"Three Tree Rootweaver","G","C","291869","4.38","55343","6.00","262589","78.9%","54.2%","47708","56.6%","62721","53.5%","110429","54.8%","151992","53.6%","1.2pp"
"Treeguard Duo","G","C","280935","4.24","68040","5.52","362216","87.7%","55.3%","58784","54.6%","91460","58.4%","150244","56.9%","211261","54.1%","2.8pp"
"Treetop Sentries","G","C","363705","5.73","61677","8.02","234316","63.0%","54.5%","37889","51.9%","58392","56.5%","96281","54.7%","136854","54.3%","0.3pp"
"Cindering Cutthroat","BR","C","361891","5.75","51199","8.27","176427","57.1%","54.4%","30288","53.2%","38770","53.5%","69058","53.4%","107057","55.0%","-1.7pp"
"Corpseberry Cultivator","BG","C","341793","5.37","60250","7.43","235988","65.5%","53.9%","41204","51.9%","57980","55.1%","99184","53.8%","135466","53.8%","-0.1pp"
"Head of the Homestead","WG","C","295079","4.39","64006","5.89","301717","77.5%","55.2%","47953","54.4%","70728","56.8%","118681","55.8%","181734","54.7%","1.1pp"
"Junkblade Bruiser","RG","C","372503","6.00","46136","9.00","122648","44.6%","52.4%","18963","51.6%","28915","53.1%","47878","52.5%","74952","52.4%","0.2pp"
"Mind Drill Assailant","UB","C","396571","6.90","50579","10.04","89051","29.7%","51.1%","14333","49.1%","23965","54.1%","38298","52.2%","50363","50.1%","2.1pp"
"Moonrise Cleric","WB","C","312393","4.70","47515","6.72","203731","70.9%","54.8%","36103","55.2%","47223","55.9%","83326","55.6%","117811","54.0%","1.6pp"
"Pond Prophet","UG","C","303791","4.60","64773","6.07","300057","76.6%","55.1%","56025","57.6%","81985","58.1%","138010","57.9%","161810","52.8%","5.1pp"
"Seedpod Squire","WU","C","373172","6.01","45524","8.96","126961","47.0%","52.4%","20417","51.2%","30654","53.5%","51071","52.6%","75626","52.1%","0.4pp"
"Tempest Angler","UR","C","373542","6.61","43313","9.58","95999","37.8%","50.8%","16665","50.8%","26964","52.5%","43629","51.9%","52397","49.9%","2.0pp"
"Veteran Guardmouse","WR","C","378859","6.26","46263","9.22","122278","44.2%","53.2%","19371","51.9%","26883","52.0%","46254","52.0%","76006","53.9%","-1.9pp"
"Barkform Harvester","","C","411326","7.21","51753","10.53","66411","21.4%","52.4%","11056","48.6%","16655","54.5%","27711","52.1%","38466","52.6%","-0.5pp"
"Bumbleflower's Sharepot","","C","395822","6.47","48204","9.63","99650","34.6%","52.2%","16854","48.7%","24768","55.5%","41622","52.8%","57659","51.8%","1.0pp"
"Fountainport Bell","","C","384185","6.08","59016","8.72","199792","56.4%","53.8%","37209","52.7%","48840","54.7%","86049","53.8%","113165","53.8%","0.1pp"
"Three Tree Mascot","","C","397757","6.53","54048","9.56","125057","38.5%","52.4%","22969","52.2%","28698","51.9%","51667","52.0%","73048","52.6%","-0.6pp"
"Hidden Grotto","","C","381425","5.84","57466","8.56","248126","71.9%","54.1%","45269","53.5%","58331","55.3%","103600","54.5%","144195","53.8%","0.7pp"
"Uncharted Haven","","C","361643","5.32","62752","7.67","316769","83.9%","54.5%","58588","55.5%","74441","52.6%","133029","53.9%","183569","54.9%","-1.0pp"
